sample	single_records	single_PASS	single_PASS_found_in_joint	single_PASS_LOST	single_nonPASS	single_nonPASS_found_in_joint	joint_present(GT alt)	joint_only_presences	joint_only_with_evidence	joint_only_without_evidence	matched_PR_SR_alt_differs	max_breakpoint_shift_bp	shifts_outside_joint_CIPOS
ART--R5-2	7	7	7	0	0	0	12	5	5	0	6	0	0
BMS983970-2R1e	14	11	10	1	3	1	15	7	7	0	8	135	1
CBR110-14R3a	15	6	5	1	9	6	14	7	7	0	7	232	0
CBR110-15R3a	22	15	8	7	7	4	17	9	9	0	9	166	1
CBR113--1-R4a	40	30	9	21	10	10	15	7	7	0	16	232	1
CBR113-7R4a	27	19	16	3	8	4	23	14	14	0	17	232	2
CBR668--1-R3b	15	12	4	8	3	3	8	1	1	0	4	127	0
CBR668--2-R3b	15	9	8	1	6	3	12	3	3	0	8	205	0
CBR668--3-R3a	20	16	12	4	4	2	11	1	1	0	11	199	1
CBR668--4-R3a	15	10	8	2	5	1	10	1	1	0	5	138	0
CBR668--5-R3b	19	13	7	6	6	2	10	1	1	0	4	170	0
CBR668--7-R3b	16	11	9	2	5	4	10	1	1	0	7	157	0
CBR868--15R3a	28	22	12	10	6	0	15	5	5	0	5	232	0
CBR868-2--R2a	13	9	9	0	4	2	12	5	5	0	10	220	0
CBR868-4--R2a	24	22	17	5	2	1	13	3	3	0	12	198	0
CBR868-5--R2a	25	23	15	8	2	2	14	5	5	0	12	232	0
CHX--Cy73-2	14	12	7	5	2	0	36	29	29	0	3	0	0
DDD01027481--11_R3a	26	22	18	4	4	3	14	9	9	0	17	232	1
DDD01027481--8_R3a	17	14	5	9	3	3	10	6	6	0	6	232	0
DDD01027481--9_R3a	16	9	6	3	7	4	12	6	6	0	8	232	0
DS28-R5-2	8	7	6	1	1	1	10	4	4	0	5	21	1
DS29--R6-2	8	7	7	0	1	0	12	5	5	0	4	0	0
DS4-R6-2	15	10	7	3	5	5	25	13	13	0	7	232	0
Diethylstilbestrol--13C	13	9	6	3	4	2	13	5	5	0	5	0	0
Diethylstilbestrol--14C	14	10	10	0	4	4	11	1	1	0	8	220	0
Diethylstilbestrol--15A	10	6	6	0	4	3	15	7	7	0	5	21	1
Diethylstilbestrol--17C	13	6	6	0	7	4	17	7	7	0	7	198	0
Doxorubicin-135-R2b	21	14	13	1	7	3	16	6	6	0	11	232	1
Doxorubicin-24R3a	16	6	6	0	10	9	12	3	3	0	10	220	0
Etoposide--R10b-2	10	10	9	1	0	0	12	3	3	0	7	149	0
Etoposide-R4b-2	18	12	9	3	6	2	24	15	15	0	8	220	0
Etoposide-R7b-2	9	9	9	0	0	0	10	1	1	0	4	150	0
Etoposide-R9b-2	19	13	11	2	6	2	19	8	8	0	9	179	0
GNF-Pf-1618-7R2b	9	7	4	3	2	2	10	4	4	0	3	50	1
GNFpf2740--15_R5a	23	19	14	5	4	3	18	7	7	0	12	232	0
Hecto--16Res2a	26	19	12	7	7	7	14	2	2	0	17	195	1
Hecto--7Res2a	23	18	18	0	5	3	21	7	7	0	16	182	0
HygromycinB-36R8a	15	13	8	5	2	2	12	4	4	0	5	135	0
Lapatanib--6R6b	12	7	6	1	5	3	10	2	2	0	5	165	2
Lomerizine--21R3b	25	22	9	13	3	1	13	3	3	0	3	135	0
MMV000570--R3-2	8	8	7	1	0	0	26	19	19	0	3	0	0
MMV000570--R4-2	8	8	7	1	0	0	24	17	17	0	5	0	0
MMV019017--R7-2	12	10	9	1	2	2	12	3	3	0	10	220	0
MMV085203-11R3a	23	15	12	3	8	0	11	1	1	0	10	232	0
MMV085203-7R3a	16	13	10	3	3	2	16	6	6	0	9	171	0
MMV1007245--13_R4b	18	14	12	2	4	2	30	16	16	0	10	232	0
MMV1078458--10_R3a	15	14	13	1	1	0	20	9	9	0	10	198	1
MMV1078458--2R3a	20	14	14	0	6	6	16	4	4	0	16	222	0
MMV1078458--4R3a	10	7	6	1	3	3	13	5	5	0	5	21	1
MMV1078458--5R3a	16	10	6	4	6	3	15	7	7	0	6	116	1
MMV1078458--6R3a	13	10	8	2	3	3	12	4	4	0	7	163	1
MMV1078458--7_R3a	19	11	9	2	8	7	28	14	14	0	11	268	0
MMV1078458--8_R4a	24	14	7	7	10	7	16	8	8	0	12	232	0
MMV1078458--9_R3a	25	12	11	1	13	13	27	9	9	0	18	220	0
MMV1469689--1-R2a	24	10	7	3	14	10	27	11	11	0	14	220	1
MMV1469689--5-R2a	22	12	10	2	10	8	17	5	5	0	16	227	0
MMV306025--R1-2	15	12	11	1	3	1	12	3	3	0	10	137	1
MMV396736--R10-2	10	8	8	0	2	2	12	3	3	0	8	142	1
MMV665794-10R9c	16	16	12	4	0	0	13	3	3	0	8	189	0
MMV665794-11R9c	12	10	8	2	2	2	12	2	2	0	4	107	0
MMV665794-7R9c	22	19	14	5	3	1	19	9	9	0	7	232	1
MMV665794-8R9c	24	18	14	4	6	2	11	1	1	0	10	225	0
MMV665807--R4-2	33	31	17	14	2	0	28	19	19	0	14	167	0
MMV665807--R5-2	11	11	7	4	0	0	26	19	19	0	3	0	0
MMV665852--13R3b	13	11	8	3	2	2	10	2	2	0	8	172	1
MMV665852--15R3a	14	11	7	4	3	3	13	3	3	0	8	138	1
MMV665852--17R3a	15	12	9	3	3	3	12	3	3	0	10	165	1
